Mean Temperature (Degrees C) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     JFM     AMJ     JAS     OND
1960    27.78   27.07   30.43   27.04   26.59
1961    27.62   26.44   30.66   27.05   26.32
1962    27.56   26.62   29.85   27.37   26.39
1963    28.43   28.02   30.77   28.21   26.70
1964    28.07   28.10   30.79   27.22   26.16
1965    27.12   25.81   30.05   26.93   25.70
1966    27.89   26.77   30.67   27.69   26.44
1967    27.15   26.26   29.72   27.15   25.47
1968    27.48   25.27   29.33   27.94   27.39
1969    28.51   28.48   31.36   27.61   26.60
1970    28.33   27.36   30.59   27.81   27.55
1971    27.61   26.17   29.92   27.28   27.05
1972    28.01   26.33   29.58   28.58   27.55
1973    28.13   27.02   30.49   27.94   27.07
1974    27.25   25.67   29.81   27.15   26.38
1975    27.48   26.34   29.88   27.05   26.64
1976    27.45   25.96   29.64   27.76   26.45
1977    28.42   27.23   30.53   28.34   27.56
1978    27.96   27.20   30.32   27.54   26.77
1979    28.36   27.44   30.39   28.21   27.43
1980    28.22   27.11   30.75   28.07   26.94
1981    28.31   26.95   30.93   27.72   27.66
1982    27.75   25.96   30.15   28.19   26.69
1983    28.95   27.91   30.85   28.85   28.21
1984    28.21   26.59   30.52   28.49   27.22
1985    28.03   27.09   30.20   27.64   27.19
1986    27.73   25.64   30.76   27.86   26.66
1987    28.69   26.99   31.32   28.82   27.65
1988    28.14   26.84   31.06   27.82   26.82
1989    28.17   26.81   30.58   27.77   27.50
1990    28.61   27.48   30.96   28.25   27.75
1991    28.37   27.03   30.49   28.39   27.56
1992    28.29   26.97   30.46   28.13   27.59
1993    28.56   27.10   31.37   28.33   27.44
1994    28.15   26.62   30.70   27.82   27.45
1995    28.48   26.78   30.86   28.39   27.91
1996    28.83   27.99   31.18   28.47   27.68
1997    28.84   27.91   30.53   28.75   28.18
1998    29.27   28.77   31.93   28.44   27.93
1999    28.07   26.26   30.78   27.90   27.32
2000    28.59   27.84   31.06   28.26   27.22
2001    28.99   27.77   31.03   28.49   28.68
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
